# h  k  l  lp
  -6   -1   -2  0.020769
  -6   -1   -1  0.020712
  -6   -1    0  0.020691
  -6   -1    1  0.020706
  -6   -1    2  0.020758
  -6   -1    3  0.020846
  -6   -1    4  0.020969
  -6   -1    5  0.021127
  -6   -1    6  0.021319
  -6   -1    7  0.021545
  -6   -1    8  0.021802
  -6   -1    9  0.022091
  -6   -1   10  0.022410
  -6   -1   11  0.022757
  -6   -1   12  0.023132
  -6   -1   13  0.023532
  -6   -1   14  0.023958
  -6   -1   15  0.024407
  -6   -1   16  0.024877
  -6   -2  -15  0.024904
  -6   -2  -14  0.024463
  -6   -2  -13  0.024045
  -6   -2  -12  0.023652
  -6   -2  -11  0.023284
  -6   -2  -10  0.022943
  -6   -2   -9  0.022631
  -6   -2   -8  0.022348
  -6   -2   -7  0.022095
  -6   -2   -6  0.021874
  -6   -2   -5  0.021685
  -6   -2   -4  0.021529
  -6   -2   -3  0.021408
  -6   -2   -2  0.021321
  -6   -2   -1  0.021269
  -6   -2    0  0.021253
  -6   -2    1  0.021272
  -6   -2    2  0.021326
  -6   -2    3  0.021415
  -6   -2    4  0.021539
  -6   -2    5  0.021697
  -6   -2    6  0.021888
  -6   -2    7  0.022111
  -6   -2    8  0.022366
  -6   -2    9  0.022652
  -6   -2   10  0.022966
  -6   -2   11  0.023309
  -6   -2   12  0.023678
  -6   -2   13  0.024073
  -6   -2   14  0.024492
  -6   -2   15  0.024935
  -6   -3  -13  0.024499
  -6   -3  -12  0.024117
  -6   -3  -11  0.023760
  -6   -3  -10  0.023430
  -6   -3   -9  0.023127
  -6   -3   -8  0.022854
  -6   -3   -7  0.022610
  -6   -3   -6  0.022398
  -6   -3   -5  0.022217
  -6   -3   -4  0.022069
  -6   -3   -3  0.021955
  -6   -3   -2  0.021874
  -6   -3   -1  0.021827
  -6   -3    0  0.021815
  -6   -3    1  0.021837
  -6   -3    2  0.021894
  -6   -3    3  0.021985
  -6   -3    4  0.022109
  -6   -3    5  0.022267
  -6   -3    6  0.022456
  -6   -3    7  0.022678
  -6   -3    8  0.022930
  -6   -3    9  0.023212
  -6   -3   10  0.023523
  -6   -3   11  0.023861
  -6   -3   12  0.024225
  -6   -3   13  0.024615
  -6   -4  -11  0.024239
  -6   -4  -10  0.023919
  -6   -4   -9  0.023627
  -6   -4   -8  0.023363
  -6   -4   -7  0.023128
  -6   -4   -6  0.022924
  -6   -4   -5  0.022752
  -6   -4   -4  0.022611
  -6   -4   -3  0.022503
  -6   -4   -2  0.022427
  -6   -4   -1  0.022386
  -6   -4    0  0.022378
  -6   -4    1  0.022403
  -6   -4    2  0.022462
  -6   -4    3  0.022554
  -6   -4    4  0.022679
  -6   -4    5  0.022836
  -6   -4    6  0.023025
  -6   -4    7  0.023245
  -6   -4    8  0.023495
  -6   -4    9  0.023773
  -6   -4   10  0.024080
  -6   -4   11  0.024414
  -6   -5   -6  0.023453
  -6   -5   -5  0.023287
  -6   -5   -4  0.023154
  -6   -5   -3  0.023051
  -6   -5   -2  0.022982
  -6   -5   -1  0.022945
  -6   -5    0  0.022940
  -6   -5    1  0.022969
  -6   -5    2  0.023030
  -6   -5    3  0.023123
  -6   -5    4  0.023249
  -6   -5    5  0.023406
  -6   -5    6  0.023594
  -5    6   -8  0.015431
  -5    6   -7  0.015019
  -5    6   -6  0.014648
  -5    6   -5  0.014320
  -5    6   -4  0.014037
  -5    6   -3  0.013804
  -5    6   -2  0.013621
  -5    6   -1  0.013493
  -5    6    0  0.013419
  -5    6    1  0.013401
  -5    6    2  0.013439
  -5    6    3  0.013532
  -5    6    4  0.013680
  -5    6    5  0.013881
  -5    6    6  0.014133
  -5    6    7  0.014432
  -5    6    8  0.014776
  -5    6    9  0.015162
  -5    6   10  0.015586
  -5    5   -9  0.016307
  -5    5   -8  0.015876
  -5    5   -7  0.015482
  -5    5   -6  0.015127
  -5    5   -5  0.014815
  -5    5   -4  0.014548
  -5    5   -3  0.014329
  -5    5   -2  0.014159
  -5    5   -1  0.014041
  -5    5    0  0.013976
  -5    5    1  0.013965
  -5    5    2  0.014007
  -5    5    3  0.014103
  -5    5    4  0.014251
  -5    5    5  0.014450
  -5    5    6  0.014697
  -5    5    7  0.014991
  -5    5    8  0.015328
  -5    5    9  0.015705
  -5    5   10  0.016121
  -5    5   11  0.016571
  -5    5   12  0.017054
  -5    5   13  0.017567
  -5    5   14  0.018106
  -5    4   -9  0.016743
  -5    4   -8  0.016329
  -5    4   -7  0.015951
  -5    4   -6  0.015613
  -5    4   -5  0.015316
  -5    4   -4  0.015063
  -5    4   -3  0.014857
  -5    4   -2  0.014699
  -5    4   -1  0.014591
  -5    4    0  0.014535
  -5    4    1  0.014529
  -5    4    2  0.014576
  -5    4    3  0.014674
  -5    4    4  0.014822
  -5    4    5  0.015018
  -5    4    6  0.015262
  -5    4    7  0.015550
  -5    4    8  0.015880
  -5    4    9  0.016250
  -5    4   10  0.016657
  -5    4   11  0.017099
  -5    4   12  0.017572
  -5    4   13  0.018074
  -5    4   14  0.018604
  -5    4   15  0.019157
  -5    4   16  0.019734
  -5    4   17  0.020331
  -5    3  -10  0.017619
  -5    3   -9  0.017187
  -5    3   -8  0.016789
  -5    3   -7  0.016427
  -5    3   -6  0.016103
  -5    3   -5  0.015821
  -5    3   -4  0.015582
  -5    3   -3  0.015388
  -5    3   -2  0.015241
  -5    3   -1  0.015143
  -5    3    0  0.015094
  -5    3    1  0.015094
  -5    3    2  0.015145
  -5    3    3  0.015244
  -5    3    4  0.015392
  -5    3    5  0.015587
  -5    3    6  0.015827
  -5    3    7  0.016110
  -5    3    8  0.016434
  -5    3    9  0.016797
  -5    3   10  0.017196
  -5    3   11  0.017629
  -5    3   12  0.018093
  -5    3   13  0.018585
  -5    3   14  0.019105
  -5    3   15  0.019649
  -5    3   16  0.020216
  -5    3   17  0.020803
  -5    3   18  0.021409
  -5    2  -10  0.018054
  -5    2   -9  0.017638
  -5    2   -8  0.017255
  -5    2   -7  0.016908
  -5    2   -6  0.016599
  -5    2   -5  0.016330
  -5    2   -4  0.016104
  -5    2   -3  0.015922
  -5    2   -2  0.015785
  -5    2   -1  0.015696
  -5    2    0  0.015653
  -5    2    1  0.015659
  -5    2    2  0.015713
  -5    2    3  0.015814
  -5    2    4  0.015962
  -5    2    5  0.016155
  -5    2    6  0.016392
  -5    2    7  0.016671
  -5    2    8  0.016989
  -5    2    9  0.017345
  -5    2   10  0.017737
  -5    2   11  0.018161
  -5    2   12  0.018616
  -5    2   13  0.019100
  -5    2   14  0.019610
  -5    2   15  0.020144
  -5    2   16  0.020702
  -5    2   17  0.021279
  -5    2   18  0.021877
  -5    2   19  0.022491
  -5    2   20  0.023122
  -5    1  -11  0.018930
  -5    1  -10  0.018497
  -5    1   -9  0.018096
  -5    1   -8  0.017727
  -5    1   -7  0.017395
  -5    1   -6  0.017099
  -5    1   -5  0.016844
  -5    1   -4  0.016629
  -5    1   -3  0.016458
  -5    1   -2  0.016331
  -5    1   -1  0.016249
  -5    1    0  0.016214
  -5    1    1  0.016225
  -5    1    2  0.016282
  -5    1    3  0.016385
  -5    1    4  0.016532
  -5    1    5  0.016724
  -5    1    6  0.016958
  -5    1    7  0.017232
  -5    1    8  0.017545
  -5    1    9  0.017895
  -5    1   10  0.018279
  -5    1   11  0.018695
  -5    1   12  0.019142
  -5    1   13  0.019617
  -5    1   14  0.020118
  -5    1   15  0.020644
  -5    1   16  0.021192
  -5    1   17  0.021760
  -5    1   18  0.022348
  -5    1   19  0.022954
  -5    1   20  0.023576
  -5    0  -11  0.019366
  -5    0  -10  0.018947
  -5    0   -9  0.018560
  -5    0   -8  0.018205
  -5    0   -7  0.017886
  -5    0   -6  0.017604
  -5    0   -5  0.017360
  -5    0   -4  0.017157
  -5    0   -3  0.016996
  -5    0   -2  0.016878
  -5    0   -1  0.016804
  -5    0    0  0.016775
  -5    0    1  0.016790
  -5    0    2  0.016850
  -5    0    3  0.016955
  -5    0    4  0.017102
  -5    0    5  0.017293
  -5    0    6  0.017524
  -5    0    7  0.017794
  -5    0    8  0.018102
  -5    0    9  0.018445
  -5    0   10  0.018823
  -5    0   11  0.019232
  -5    0   12  0.019671
  -5    0   13  0.020137
  -5    0   14  0.020630
  -5    0   15  0.021146
  -5    0   16  0.021686
  -5    0   17  0.022245
  -5    0   18  0.022825
  -5    0   19  0.023421
  -5    0   20  0.024035
  -5    0   21  0.024663
  -5   -1  -12  0.020242
  -5   -1  -11  0.019808
  -5   -1  -10  0.019403
  -5   -1   -9  0.019029
  -5   -1   -8  0.018688
  -5   -1   -7  0.018382
  -5   -1   -6  0.018112
  -5   -1   -5  0.017880
  -5   -1   -4  0.017688
  -5   -1   -3  0.017536
  -5   -1   -2  0.017427
  -5   -1   -1  0.017360
  -5   -1    0  0.017336
  -5   -1    1  0.017356
  -5   -1    2  0.017419
  -5   -1    3  0.017525
  -5   -1    4  0.017672
  -5   -1    5  0.017861
  -5   -1    6  0.018089
  -5   -1    7  0.018356
  -5   -1    8  0.018659
  -5   -1    9  0.018997
  -5   -1   10  0.019368
  -5   -1   11  0.019770
  -5   -1   12  0.020201
  -5   -1   13  0.020660
  -5   -1   14  0.021144
  -5   -1   15  0.021653
  -5   -1   16  0.022183
  -5   -1   17  0.022734
  -5   -1   18  0.023305
  -5   -1   19  0.023893
  -5   -1   20  0.024498
  -5   -2  -12  0.020677
