# h  k  l  lp
   8    3    7  0.033167
   8    3    6  0.032324
   8    3    5  0.031574
   8    3    4  0.030925
   8    3    3  0.030383
   8    3    2  0.029954
   8    3    1  0.029642
   8    3    0  0.029453
   8    3   -1  0.029387
   8    3   -2  0.029446
   8    3   -3  0.029628
   8    3   -4  0.029933
   8    3   -5  0.030356
   8    3   -6  0.030892
   8    3   -7  0.031535
   8    3   -8  0.032279
   8    3   -9  0.033118
   8    3  -10  0.034043
   8    2    9  0.035114
   8    2    8  0.034049
   8    2    7  0.033061
   8    2    6  0.032157
   8    2    5  0.031344
   8    2    4  0.030629
   8    2    3  0.030019
   8    2    2  0.029521
   8    2    1  0.029141
   8    2    0  0.028884
   8    2   -1  0.028752
   8    2   -2  0.028747
   8    2   -3  0.028869
   8    2   -4  0.029118
   8    2   -5  0.029489
   8    2   -6  0.029978
   8    2   -7  0.030580
   8    2   -8  0.031287
   8    2   -9  0.032093
   8    2  -10  0.032991
   8    2  -11  0.033973
   8    1    9  0.035160
   8    1    8  0.034042
   8    1    7  0.032997
   8    1    6  0.032032
   8    1    5  0.031156
   8    1    4  0.030375
   8    1    3  0.029697
   8    1    2  0.029130
   8    1    1  0.028680
   8    1    0  0.028352
   8    1   -1  0.028151
   8    1   -2  0.028080
   8    1   -3  0.028139
   8    1   -4  0.028328
   8    1   -5  0.028644
   8    1   -6  0.029083
   8    1   -7  0.029640
   8    1   -8  0.030307
   8    1   -9  0.031079
   8    1  -10  0.031947
   8    1  -11  0.032904
   8    0    8  0.034074
   8    0    7  0.032974
   8    0    6  0.031950
   8    0    5  0.031011
   8    0    4  0.030164
   8    0    3  0.029418
   8    0    2  0.028781
   8    0    1  0.028259
   8    0    0  0.027859
   8    0   -1  0.027587
   8    0   -2  0.027446
   8    0   -3  0.027439
   8    0   -4  0.027565
   8    0   -5  0.027823
   8    0   -6  0.028208
   8    0   -7  0.028717
   8    0   -8  0.029342
   8    0   -9  0.030076
   8    0  -10  0.030912
   8    0  -11  0.031841
   8   -1    7  0.032992
   8   -1    6  0.031911
   8   -1    5  0.030910
   8   -1    4  0.029999
   8   -1    3  0.029184
   8   -1    2  0.028476
   8   -1    1  0.027881
   8   -1    0  0.027408
   8   -1   -1  0.027063
   8   -1   -2  0.026850
   8   -1   -3  0.026772
   8   -1   -4  0.026832
   8   -1   -5  0.027027
   8   -1   -6  0.027356
   8   -1   -7  0.027813
   8   -1   -8  0.028392
   8   -1   -9  0.029086
   8   -1  -10  0.029887
   8   -1  -11  0.030786
   8   -2    6  0.031914
   8   -2    5  0.030853
   8   -2    4  0.029878
   8   -2    3  0.028996
   8   -2    2  0.028217
   8   -2    1  0.027549
   8   -2    0  0.027001
   8   -2   -1  0.026579
   8   -2   -2  0.026292
   8   -2   -3  0.026141
   8   -2   -4  0.026131
   8   -2   -5  0.026261
   8   -2   -6  0.026528
   8   -2   -7  0.026930
   8   -2   -8  0.027460
   8   -2   -9  0.028110
   8   -2  -10  0.028874
   8   -2  -11  0.029741
   8   -3    6  0.031961
   8   -3    5  0.030841
   8   -3    4  0.029803
   8   -3    3  0.028854
   8   -3    2  0.028004
   8   -3    1  0.027262
   8   -3    0  0.026638
   8   -3   -1  0.026140
   8   -3   -2  0.025775
   8   -3   -3  0.025548
   8   -3   -4  0.025464
   8   -3   -5  0.025524
   8   -3   -6  0.025727
   8   -3   -7  0.026070
   8   -3   -8  0.026546
