Intensity,HKL,G-vector Length
0.0003173639,-8 -6 11,1.5344206792430084
0.0103986915,-8 -5 11,1.4924955436657423
0.00085044414,-8 -3 12,1.4800235505833768
0.00095389795,-8 -2 12,1.4604082577280746
0.00048934843,-8 1 13,1.503579358932954
0.00027601546,-8 2 13,1.5150495319756125
0.0014979829,-8 3 13,1.533973423777536
3.593177e-05,-7 -9 9,1.5315059313715462
0.00027364385,-7 -8 9,1.46607613385616
0.00019568932,-7 -7 9,1.4058176366389021
0.00022760265,-7 -5 10,1.3490930853259953
0.00038223524,-7 -4 10,1.310046790035446
0.004671982,-7 -3 10,1.2788542591225567
0.00033227596,-7 -1 11,1.2956972002246498
0.0009151937,-7 0 11,1.2912409924755037
0.009038399,-7 4 12,1.4151400481802041
0.012225132,-7 5 12,1.4513684003380833
0.00012242526,-6 -10 7,1.457725151508997
7.8428e-05,-6 -9 7,1.3804906681369233
0.0022573355,-6 -6 8,1.2166773946405243
0.002438436,-6 -5 8,1.1633560834378351
0.0004522417,-6 -3 9,1.130293129429712
0.00029599603,-6 -2 9,1.1044829082715484
0.0010325328,-6 2 10,1.1591800780923125
0.0011749971,-6 3 10,1.1838053899317211
0.005783217,-6 6 11,1.360790857911538
0.00037019895,-6 7 11,1.4148321927113048
0.0003891281,-5 -11 5,1.419801648064448
0.0053828936,-5 -8 6,1.193748780473339
0.0057413853,-5 -7 6,1.1189180110146535
0.004605569,-5 -4 7,0.9762748928370963
0.088674076,-5 -3 7,0.933999816727419
0.005781926,-5 0 8,0.9302830368409292
0.0007627207,-5 4 9,1.0779507120602858
0.013431278,-5 5 9,1.1250884331628224
0.004468315,-5 9 10,1.4279055168157426
0.0013768415,-4 -13 3,1.5187395868236162
0.0012862713,-4 -12 3,1.4206099835422847
0.0007540708,-4 -9 4,1.1537801487195947
0.056465324,-4 -6 5,0.9311250269482844
0.020199906,-4 -5 5,0.8602817429894987
0.0026073449,-4 -2 6,0.7535287529531414
0.052272666,-4 -1 6,0.7302041288640373
0.0016716036,-4 2 7,0.8079942413112778
0.0036160955,-4 3 7,0.8429405726660234
0.02416918,-4 7 8,1.1278904623368164
0.0073288204,-3 -11 2,1.2613844479345246
0.0014720531,-3 -10 2,1.1613797894169373
0.004083878,-3 -7 3,0.8879553337305319
0.01781583,-3 -3 4,0.6083386973202621
0.009670096,-3 1 5,0.5795900390461562
0.27981913,-3 5 6,0.8282575703325231
0.0049947156,-3 10 7,1.28045084350943
0.0009370719,-2 -12 0,1.3202969200645345
0.023878068,-2 -8 1,0.9062877228454828
0.17175458,-2 -5 2,0.6225791911153087
0.13320443,-2 -1 3,0.3767643764765707
0.011457733,-1 -13 -2,1.4165800689553696
0.04642748,-1 -10 -1,1.0885252682502344
0.008997635,-1 -6 0,0.6601484600322672
0.0017508776,0 -14 -4,1.5432550435298102
0.0032116116,0 -11 -3,1.2098350186873332
0.018859502,0 -4 -1,0.43831344192677807
0.0052461876,0 9 2,0.9821484304475103
0.0028201537,0 14 3,1.5261153922831028
0.017520785,1 -12 -5,1.3615932536018265
0.053630605,1 7 0,0.7653657331416944
