Intensity,HKL,G-vector Length
0.0010764773,-4 1 17,1.514928479162564
0.00022535402,-4 2 17,1.5263145493381252
8.1714694e-05,-4 3 17,1.5451016454753561
0.0048483885,-4 4 16,1.494260537381119
0.0004867569,-4 5 16,1.5286160495194148
0.00020309215,-4 7 15,1.547035693392938
0.0004506611,-3 -7 15,1.5157431857906873
0.0033995295,-3 -6 15,1.4654357622725738
0.0004034999,-3 -5 15,1.4214787111349438
0.0007417389,-3 -4 15,1.3844770362336412
0.00060642866,-3 -3 14,1.2757829300340537
0.0002552275,-3 -3 15,1.355000659148429
0.00016296796,-3 -2 14,1.2529750612678299
0.009100231,-3 -1 14,1.2390908395020659
0.002303036,-3 0 14,1.234431406641418
0.010546758,-3 1 13,1.1584428810126675
0.0005941117,-3 2 13,1.1732920265978655
0.0010164903,-3 4 12,1.1561712413995087
0.026298467,-3 5 12,1.2002420077962874
0.00044730798,-3 7 11,1.2466645887207104
0.0068902895,-3 10 10,1.412201076533232
0.014341843,-3 12 9,1.5390588155001845
0.0031971477,-2 -10 12,1.4971578107948469
0.00012713109,-2 -9 12,1.4220681686669885
0.00081117376,-2 -8 11,1.288281124160918
0.0041290116,-2 -8 12,1.351350963678093
0.0021135458,-2 -7 11,1.2192678552006542
0.0080263745,-2 -6 11,1.156129376569877
0.0004297204,-2 -5 11,1.0998778808559004
0.0011966488,-2 -4 10,0.9769571748483826
0.009415687,-2 -3 10,0.9347144060408871
0.018550899,-2 -2 10,0.9033337727656193
0.012150741,-2 0 9,0.7958929154185433
0.0014667852,-2 1 9,0.8031133691468556
0.006658251,-2 3 8,0.7847921197533996
0.12037353,-2 4 8,0.834666932881856
0.012708329,-2 6 7,0.9061183344912433
0.019284666,-2 11 5,1.2783117038526082
0.006321192,-2 13 4,1.4582816170969768
0.0015556187,-1 -12 8,1.4619650784304308
0.0050023505,-1 -11 8,1.3682047914898494
0.0020730605,-1 -10 7,1.232951329458888
0.0019570834,-1 -10 8,1.2765978212214817
0.045335796,-1 -9 7,1.1405967401604078
0.0001764305,-1 -8 7,1.051108011243669
0.00065177976,-1 -7 7,0.9652825305177021
0.012678247,-1 -5 6,0.7485789053974234
0.05685815,-1 -4 6,0.6756754818390465
0.0138544105,-1 -1 5,0.45166688638280966
0.059344158,-1 2 4,0.417333466440928
0.054834653,-1 7 2,0.7807214275482578
9.875483e-05,-1 12 0,1.296863792524481
0.00034069794,-1 14 -1,1.514091960373147
0.0055729714,0 -14 4,1.543222833909405
0.00019826143,0 -13 4,1.4387582392462208
0.0012308509,0 -12 3,1.3149160243843572
0.00029812715,0 -11 3,1.209810807120971
0.0011334665,0 -10 3,1.1051494974240326
0.032673724,0 -7 2,0.7716114169547025
0.030469742,0 -6 2,0.6673808904374549
0.038505595,0 -3 1,0.3336904452187274
0.03581798,0 3 -1,0.3336904452187274
0.09137222,0 5 -2,0.5643452062818475
0.044036493,0 8 -3,0.8977791550678139
0.0015478373,0 10 -4,1.128690412563695
0.00021019056,0 11 -4,1.2313520768471542
0.00012034585,0 12 -5,1.359853360233326
0.00016271953,0 13 -5,1.4620658442850258
0.00024629929,1 -14 -1,1.5120098432134264
0.052262235,1 -13 -1,1.4052252128438507
0.23659581,1 -9 -2,0.9893090641285388
0.06217574,1 -2 -4,0.417333466440928
0.09958178,1 0 -5,0.4387138098162797
0.016890492,1 1 -5,0.45166688638280966
0.0022878412,1 3 -6,0.6130085812587087
0.06633675,1 4 -6,0.6756754818390465
0.032085195,1 5 -7,0.8092468986190964
0.006837721,1 6 -7,0.8841876842224506
0.00603249,1 7 -8,1.0204440420415886
0.007623569,1 8 -8,1.1019813260162943
0.004508839,1 9 -9,1.2389737772598186
0.0010078138,1 9 -8,1.187642550443967
0.00015814285,1 10 -9,1.3244856747554272
0.0013707114,1 11 -10,1.4615507094598148
4.0919433e-05,1 11 -9,1.4129910719155943
0.003521893,1 12 -10,1.5496729461927718
0.0017246322,2 -13 -6,1.5047359038955093
0.005764192,2 -9 -7,1.1576962656536243
0.0013631089,2 -5 -8,0.8947146423590819
0.014366955,2 -3 -9,0.8586662563757101
0.00891907,2 -2 -9,0.8243857224487594
0.19325334,2 0 -10,0.8774276196325594
0.08173614,2 1 -10,0.8839728355348547
0.0026446534,2 2 -11,0.9836010948532405
0.050145876,2 2 -10,0.9033337727656193
0.0025486948,2 3 -11,1.0124965886413577
0.0028834583,2 4 -11,1.0516191111853401
0.00069519394,2 5 -12,1.173121983360205
0.0059536737,2 6 -12,1.2260171625174174
0.0002991587,2 7 -13,1.3544761022112248
0.0037531848,2 7 -12,1.28572787265327
0.0012212525,2 8 -13,1.4169184480237431
0.0003677745,2 9 -14,1.5492967155665767
0.0020011852,2 9 -13,1.4845152239113877
0.0018894887,3 -9 -12,1.4445513062874709
0.015933942,3 -8 -12,1.3749831997204176
0.006227945,3 -6 -13,1.3213111336753953
0.0017537638,3 -5 -13,1.272374984712252
0.0035973645,3 -4 -13,1.230889221763849
0.007709422,3 -3 -14,1.2758120449003543
0.0032068393,3 -2 -14,1.2529948245663884
0.0017028382,3 -1 -15,1.3205222920836592
0.0067015383,3 -1 -14,1.2391008319154055
5.7921134e-05,3 0 -15,1.316141429448839
0.0009486416,3 1 -16,1.4025642058931478
0.00068968383,3 1 -15,1.3205122436082712
0.0006799925,3 2 -16,1.4148445045371063
0.0006600061,3 2 -15,1.333548684343032
0.01404042,3 3 -16,1.435081453148562
0.00045102698,3 4 -17,1.5422925012823623
9.261411e-05,3 4 -16,1.462944895445174
