Intensity,HKL,G-vector Length
0.0060985996,-10 -1 9,1.5426413680551447
0.00014554315,-9 -7 6,1.5234353884811023
0.0024559258,-9 -5 7,1.4536751709648121
0.00055606384,-9 -4 7,1.4175116397593543
0.0010278738,-9 -2 8,1.398262566423594
0.0010746104,-9 -1 8,1.3858327434508733
0.00083212915,-9 1 9,1.42120166923419
0.0027989887,-9 4 10,1.5189468202005079
0.00027830893,-8 -9 4,1.5039442298476
5.5757046e-05,-8 -7 5,1.3910307434650746
0.007254621,-8 -5 6,1.309739054485245
0.009882629,-8 -4 6,1.2694814943376904
0.004486442,-8 -2 7,1.2431878225151636
0.0015359691,-8 1 8,1.2642487141566396
0.0035972372,-8 4 9,1.3688838294150723
0.00073539314,-8 6 10,1.490661895546563
0.0036960528,-8 7 10,1.5401527013942682
0.0009623074,-7 -10 3,1.4685449368917125
0.0021961003,-7 -7 4,1.2643830741134898
0.0014565542,-7 -5 5,1.1692938730103222
0.001249879,-7 -2 6,1.0887977782351228
0.0013548753,-7 1 7,1.107439533478299
0.00059350464,-7 3 8,1.1871407559685987
0.0015915114,-7 6 9,1.3514573640697864
0.0032159672,-6 -12 1,1.544627250639252
0.008992614,-6 -10 2,1.3717785075357618
0.015786782,-6 -7 3,1.1454036272841144
0.00035798587,-6 -5 4,1.0337634229001835
0.001178741,-6 -2 5,0.9354315176327624
0.0027733152,-6 3 7,1.0368805658188198
0.011802862,-6 6 8,1.216711966495639
0.002004133,-6 9 9,1.4520206572377843
0.00018009421,-5 -12 0,1.4739330127788999
0.0076545468,-5 -10 1,1.2870567968256288
0.000840511,-5 -5 3,0.9053575813149048
0.054454897,-5 -2 4,0.7836903271847718
0.06894185,-5 0 5,0.7872966598688177
0.0074093062,-5 3 6,0.8891154725428319
0.008422658,-5 6 7,1.088083587956441
0.0015800301,-5 9 8,1.3416537344769308
0.0067720497,-4 -10 0,1.2168981079878054
0.0022250898,-4 -5 2,0.7875688973122882
0.01143183,-4 0 4,0.6298373278950543
0.007897423,-4 3 5,0.7453309477732815
0.021552168,-4 6 6,0.9680137714918562
0.044986464,-4 9 7,1.2414879700898396
0.0011308078,-4 12 8,1.5389098011086697
0.004550707,-3 -10 -1,1.163938870664951
0.0012144429,-3 -5 1,0.6858892537678809
0.053287093,-3 0 3,0.4723779959212907
0.044878174,-3 3 4,0.6083559832478195
0.031386573,-2 -10 -2,1.1305986319275954
0.001745135,-2 -5 0,0.6084490539939027
0.46293455,-2 0 2,0.31491866394752716
0.02553053,-1 -10 -3,1.11863296967305
2.4241781,-1 0 1,0.15745933197376358
2.434492,1 0 -1,0.15745933197376358
0.46463007,2 0 -2,0.31491866394752716
0.109591335,3 -5 -5,0.7828437918473039
0.05300397,3 0 -3,0.4723779959212907
0.03216218,3 3 -2,0.5467121890889591
0.0021128308,3 12 1,1.3647012953924096
0.0057072556,4 -10 -8,1.3640290426612056
0.0775265,4 -5 -6,0.9000732636919986
0.0130006485,4 0 -4,0.6298373278950543
0.0208479,4 3 -3,0.6786613113342908
0.01051667,4 6 -2,0.8643937582980393
0.0036012211,4 9 -1,1.120928740490613
0.0031974586,4 11 0,1.3126806564355447
0.003863516,4 12 0,1.410140131732222
0.0009907868,5 -10 -9,1.459857177347746
0.024084706,5 -5 -7,1.0281080877241044
0.065657854,5 0 -5,0.7872966598688177
0.03222872,5 3 -4,0.8196676251730112
0.019946178,5 6 -3,0.9729251147254675
0.0010124489,5 9 -2,1.201674173792962
0.002823166,5 11 -1,1.377970909075759
0.0038783788,5 12 -1,1.4711110219997212
0.0022493782,6 -5 -8,1.1633862138281987
0.006502215,6 -2 -7,1.0086759751624814
0.016768599,6 0 -6,0.9447559918425814
0.014124499,6 3 -5,0.9657720944730163
0.003888729,6 6 -4,1.0934243781779183
0.0017469112,6 9 -3,1.2965906374470588
0.0021834706,6 11 -2,1.457416903013459
0.007222464,6 12 -2,1.5457771409319025
0.00399038,7 -7 -10,1.448122791492908
0.000899006,7 -5 -9,1.3036547117463873
0.020983506,7 -2 -8,1.162586864293244
0.014883699,7 0 -7,1.1022153238163448
0.00035987532,7 1 -7,1.1074340181638236
0.013514731,7 3 -6,1.1149723510563287
0.0025348573,7 6 -5,1.2223572903104958
0.00028967267,7 9 -4,1.4028045568506655
0.00057582575,8 -5 -10,1.4474635107120484
0.011842338,8 -2 -9,1.3173367426879352
0.00556486,8 0 -8,1.2596746557901086
0.0007066802,8 1 -8,1.2642431927517364
0.0008263442,8 3 -7,1.2661744868810956
0.00022179137,8 4 -7,1.2976728729511078
0.0025417844,8 6 -6,1.3573226226685815
0.0006567618,8 9 -5,1.517946260833321
0.0008723688,9 -2 -10,1.4726611465966535
0.0003317723,9 1 -9,1.4211961436420326
0.0024313428,9 3 -8,1.4187385951218716
0.000108711254,9 4 -8,1.4469192730422913
0.000652442,9 6 -7,1.4966893269118553
0.0028125409,9 7 -7,1.5459823946895754
