Intensity,HKL,G-vector Length
0.0033714985,-9 -6 8,1.5245698737299074
0.00016817218,-9 -4 9,1.480823691632843
9.760693e-05,-9 -3 9,1.4533009020556542
0.0018505563,-9 -1 10,1.460853125313187
0.01767017,-9 0 10,1.456901850481824
0.0026465806,-9 2 11,1.5159334351362936
0.0016128909,-9 3 11,1.5348458456631988
0.00024709647,-8 -9 6,1.5367175225836853
3.8478353e-05,-8 -7 7,1.4368984500662172
0.0030214763,-8 -6 7,1.3837248814270224
0.00024078715,-8 -4 8,1.3309221596593914
0.0004662812,-8 -3 8,1.3002298368885978
0.018314911,-8 -1 9,1.3041241169201545
0.00065401784,-8 0 9,1.2996961137054708
3.68662e-05,-8 2 10,1.3611887846965829
0.007253277,-8 3 10,1.3822198179802996
0.000413377,-8 6 11,1.5344583866773687
0.005652982,-7 -9 5,1.4189207183765478
0.008990313,-7 -6 6,1.246861130008822
0.0011974393,-7 -3 7,1.1483460401839547
0.010406106,-7 0 8,1.1425602200654867
0.00043241883,-7 3 9,1.2308120745819207
0.022494586,-7 6 10,1.3953716878981897
0.0035242345,-6 -11 3,1.4637779312378612
0.006492022,-6 -9 4,1.309487742711609
0.0043805144,-6 -8 4,1.232324039239107
0.002220718,-6 -6 5,1.1154450636516233
0.0027297821,-6 -3 6,0.9981916197445436
0.00038509027,-6 0 7,0.9855275782150038
0.0030866126,-6 3 8,1.0811345814037483
0.006294909,-6 7 9,1.3187665586009012
0.0028295398,-5 -11 2,1.380406141658342
0.014329492,-5 -8 3,1.1267789006099806
0.028549988,-5 -5 4,0.9254455920162112
0.006309584,-5 -2 5,0.816074552167428
0.0013125923,-5 1 6,0.8355926541078095
0.00925311,-5 4 7,0.9763000412236148
0.0049430737,-5 7 8,1.1961679377822176
0.0015620498,-4 -13 0,1.5089516431116832
0.0016558579,-4 -10 1,1.2147817373504397
0.0043188957,-4 -8 2,1.0345171465395502
0.101805404,-4 -5 3,0.803229387305334
0.0230065,-4 -2 4,0.6654610798296957
0.0034296282,-4 1 5,0.6805943923482914
0.0066582053,-4 4 6,0.8404095924098015
0.0014359329,-4 11 8,1.4501281702638575
0.002611135,-3 -13 -1,1.4665777743867279
0.001263699,-3 -10 0,1.156608337208409
0.0036724207,-3 -7 1,0.8644909490940361
0.056491613,-3 8 6,1.0658295115789096
0.0019050329,-2 -12 -2,1.3363797898131058
0.0074653216,-2 -7 0,0.8044330482027535
0.011594249,-2 -4 1,0.5172585732697751
0.4157138,-2 -1 2,0.33273053991484786
0.18603566,-2 2 3,0.42020479620490075
0.022308756,-1 -9 -2,0.9956825798697009
0.009876457,-1 9 4,1.0308184052057678
0.0017473736,0 -11 -4,1.23138379410176
0.06829088,0 3 1,0.33369842522151133
0.0006634962,0 13 4,1.4387903197685368
0.9001608,1 -8 -4,0.930829725780187
0.040490743,1 7 1,0.7723129802530108
0.005437542,1 10 2,1.1002726233317999
0.0009854109,1 14 3,1.5358903940057211
0.43900317,2 1 -2,0.33273053991484786
0.01322066,2 4 -1,0.5172585732697751
0.00072152104,2 11 1,1.2213387173437158
0.008719146,2 14 2,1.5446259605060215
0.15550753,3 -7 -6,0.9812865948947358
0.019214228,3 -4 -5,0.7134435352477682
0.14314307,3 -1 -4,0.5270571625964253
0.00068793615,3 2 -3,0.5189278420861508
0.015615473,3 5 -2,0.6953360597084094
0.004202905,3 8 -1,0.9593787805450343
0.00026223104,3 11 0,1.256993369584729
0.00156798,3 12 0,1.3584539011118137
0.0106144175,4 -9 -8,1.2811533604684693
0.0006466219,4 -6 -7,1.010980842016958
0.18307395,4 6 -3,0.8786855878949593
0.012704117,4 9 -2,1.1253279887273495
0.0054792776,4 12 -1,1.408313558850658
0.011381334,4 13 -1,1.507244526459718
0.004917469,5 -8 -9,1.3098907685639494
0.07805151,5 -3 -7,0.9340195317704622
0.01688743,5 0 -6,0.8286568896834293
0.01251913,5 3 -5,0.8506828280279025
0.038831472,5 6 -4,0.9916448885432315
0.006098938,5 9 -3,1.2106887188856263
0.006692372,5 10 -3,1.2980673487920287
0.00076163036,6 -8 -10,1.4268870704955363
0.007369674,6 -5 -9,1.2092258772730342
0.012329834,6 -2 -8,1.0541143251928506
0.00061595015,6 1 -7,0.9913607198580396
0.0003863424,6 4 -6,1.0378556841723017
0.0074543925,6 7 -5,1.1807633308375962
0.0020335945,6 10 -4,1.3906721194168188
0.00014942356,6 11 -4,1.4752135180781636
0.0037048876,7 -7 -11,1.4942265345355161
4.5364985e-05,7 -4 -10,1.3100735697047683
0.002789712,7 -2 -9,1.2071464359615387
0.0065435264,7 -1 -9,1.1927203601677152
0.009592515,7 1 -8,1.147595073786694
0.0010705219,7 2 -8,1.1625748298792844
0.008272998,7 4 -7,1.1829859115369732
0.00090569933,7 5 -7,1.2260864123583308
0.0022428264,7 7 -6,1.305620985738615
0.00024053329,7 8 -6,1.3702936999275854
0.00071888155,8 -4 -11,1.4573233704268294
0.0034674797,8 -3 -11,1.4293420220314697
0.0069304435,8 -1 -10,1.3484114263591782
0.0016628967,8 0 -10,1.344123144162837
0.0015605632,8 2 -9,1.3173247972578388
0.0030809655,8 3 -9,1.339038728115809
0.0012085442,8 5 -8,1.3693739979258595
0.00019368588,8 6 -8,1.414952890418776
0.0061307945,8 8 -7,1.4959060628632839
0.0090983985,9 0 -11,1.5006280531001348
0.00031413985,9 1 -11,1.5044641962916687
5.340604e-05,9 3 -10,1.4921042563088829
0.00016559666,9 4 -10,1.518923802517072
