Intensity,HKL,G-vector Length
0.003567182,-10 -4 -1,1.5059894769918436
0.002852625,-10 -2 0,1.4458243113117826
0.00010268964,-10 -1 1,1.4253701301343806
0.00021398684,-10 1 2,1.4221798559470187
0.00715658,-10 3 3,1.4563113184513332
0.006190002,-10 5 4,1.5252610755681255
0.00036889143,-9 -6 -2,1.4690805715790864
6.604814e-05,-9 -4 -1,1.3698294008883674
0.0010352937,-9 -2 0,1.3046068480929522
0.0031292292,-9 0 1,1.2786309269877953
0.0014398494,-9 2 2,1.294266837098945
0.00021692124,-9 5 4,1.3966616079815373
0.014550449,-9 7 5,1.5055685718664447
0.00041948637,-8 -7 -3,1.4202871502589207
8.033556e-05,-8 -6 -2,1.3432603424869598
0.010448426,-8 -4 -1,1.235210919490292
0.00020489004,-8 -2 0,1.1638192567420929
0.009757333,-8 0 1,1.1360176441874392
0.0065601394,-8 2 2,1.1549582209986808
0.00044900563,-8 4 3,1.2184631612837102
0.00680543,-8 6 4,1.3201166756633085
0.00011031796,-7 -9 -4,1.4645955044489032
0.00019081296,-7 -7 -3,1.3042578599925967
0.011485465,-7 -4 -1,1.1026987753143531
0.00035362155,-7 -2 0,1.0236389216898016
0.0023422027,-7 0 1,0.9935090707802028
0.012492745,-7 2 2,1.0166688173897245
0.002902847,-7 4 3,1.089725779078616
0.0005451058,-7 6 4,1.2036281160433937
0.0026933714,-7 8 5,1.3480617896363793
0.001296658,-7 10 6,1.5143157248179469
0.0075553674,-6 -9 -4,1.3662486256142512
0.002519549,-6 -7 -3,1.194088224075668
0.002926258,-6 -5 -2,1.0451744570000414
0.06580682,-6 0 1,0.8511578025852535
0.014466675,-6 2 2,0.8798793221883652
0.0012429046,-6 4 3,0.9650063301001466
0.023538692,-6 6 4,1.0934433645405903
0.0021708126,-6 8 5,1.2519309663827858
0.00029136962,-6 10 6,1.430515807855412
0.003528515,-5 -10 -5,1.3898846019242501
0.00043089554,-5 -7 -3,1.0915539170200206
0.007164789,-5 -5 -2,0.9280063138975505
0.004304321,-5 -3 -1,0.798894900666843
0.00038873364,-4 -12 -6,1.5280565859243747
0.000587424,-4 -10 -5,1.316047879685117
0.002599753,-4 -5 -2,0.819076881045949
0.11754325,-4 -3 -1,0.6716301712434799
0.00029991593,-4 -1 0,0.5819096283710464
0.0008142525,-3 -10 -5,1.2542208664916659
0.0035163243,-3 -8 -4,1.039514049336784
0.52100015,-3 -1 0,0.4421773306589379
0.09241658,-3 1 1,0.4399396610941826
0.16535334,-3 3 2,0.5467216822702952
0.016871184,-3 5 3,0.715257903927706
0.00017416936,-2 -8 -4,0.9827132697957446
0.0070316587,-2 -6 -3,0.7640282929621873
0.0014650424,-1 -11 -6,1.306146187225142
0.021991678,-1 -4 -2,0.4913566348978723
0.0014759558,0 -9 -5,1.0594461012568133
0.0073511368,1 6 3,0.716186495164125
0.002271434,1 8 4,0.944323264490811
0.00270815,1 10 5,1.1738404229994333
0.06124946,3 -1 -1,0.4399396610941826
0.5482472,3 1 0,0.4421773306589379
0.15373243,3 3 1,0.552110728839297
0.020318741,3 5 2,0.7221241588923977
0.013277203,3 7 3,0.919473721004816
0.008801074,3 9 4,1.1299257166675287
0.00028678845,3 11 5,1.3473544097825976
0.004615323,4 -6 -4,0.901148892802271
0.09695357,4 3 1,0.6716301712434799
0.004348512,4 5 2,0.819076881045949
0.02270227,4 7 3,0.999008691658471
0.0049604876,4 9 4,1.1968631391099722
0.0034115827,4 11 5,1.405089306883011
0.0042875297,5 -11 -7,1.4712756158693938
0.010938099,5 -4 -3,0.846083510086364
0.021977242,5 -2 -2,0.7454159270759818
0.014925426,5 0 -1,0.7090585881595578
0.00021418819,6 -9 -6,1.3517233392034063
0.013192435,6 -7 -5,1.1807891052218242
0.021289147,6 -2 -2,0.8798793221883652
0.053877704,6 0 -1,0.8511578025852535
0.003212024,6 2 0,0.8843546613178758
0.0066728597,6 4 1,0.9731537945737809
0.008174307,6 6 2,1.104221457678594
0.0010657094,6 8 3,1.2644814455373106
0.00019585912,6 10 4,1.4442483177847953
0.015105817,7 -7 -5,1.2822645476561536
0.00065044576,7 -5 -4,1.1496972124989286
0.0072592422,7 -3 -3,1.052015479679634
0.021164605,7 4 1,1.1026987753143531
0.00049236516,7 6 2,1.2212223855494484
0.0036227335,7 8 3,1.368997888844316
0.0005675577,7 10 4,1.5376143544982592
0.0052024564,8 -8 -6,1.471546860019924
0.0052539827,8 -5 -4,1.2711377152526644
0.0036712016,8 -3 -3,1.184857285236643
0.009194579,8 -1 -2,1.1398745810064934
0.0018426994,8 1 -1,1.1410840956199968
8.089686e-05,8 3 0,1.1883447921099672
0.002248514,8 5 1,1.2765521357933847
0.0012534918,8 7 2,1.3979767325203305
0.003620132,8 9 3,1.5448055258651765
0.0008067904,9 -6 -5,1.4549033373484628
0.001976817,9 -4 -4,1.3589782562074857
0.0009158425,9 -1 -2,1.2808248236438031
0.00051348715,9 1 -1,1.2831343997793752
0.0029823354,9 3 0,1.3265319919768137
0.0012272408,9 5 1,1.4072213551479966
0.0015509194,9 7 2,1.5192723053610082
6.92226e-05,10 -4 -4,1.4908318541519636
0.0006346918,10 -2 -3,1.4363677043709397
0.00041324052,10 0 -2,1.4181171763191156
0.002123738,10 2 -1,1.4374602770819638
0.0012068481,10 4 0,1.492936485390992
