Intensity,HKL,G-vector Length
0.00034451223,-7 -4 14,1.532631899856757
0.00052736053,-7 -1 15,1.5400288929705446
0.000439475,-7 0 15,1.5362827238738443
0.0044714306,-7 1 15,1.540037469981935
0.0033912556,-6 -8 12,1.5259419994704926
0.00064313284,-6 -7 12,1.4681436104580066
0.0016954595,-6 -6 12,1.4161453035953977
0.000100746925,-6 -5 12,1.3706073710760118
0.0001680401,-6 -4 12,1.3321924767789581
0.020572457,-6 -1 13,1.330626981201622
0.017154926,-6 0 13,1.326288814478832
0.003204927,-6 1 13,1.330635585165057
0.004105135,-6 2 13,1.343583003163335
0.003740522,-6 3 13,1.3648863311855766
0.0009282958,-5 -11 9,1.5405538743791252
0.0019123431,-5 -10 9,1.4598029705684825
0.0043954113,-5 -9 9,1.382685203031609
0.008235203,-5 -7 10,1.2921185681038547
0.0022140553,-5 -6 10,1.232716712722819
0.015351734,-5 -5 10,1.180121086329498
0.0030878298,-5 -4 10,1.1352780486554122
0.0063569695,-5 0 11,1.1163613344229348
0.031061115,-5 1 11,1.1215212480872627
0.020959398,-5 2 11,1.1368519585301469
0.002905771,-5 3 11,1.16195095684044
0.0052020256,-5 4 11,1.196203520048726
0.0003264894,-4 -12 7,1.5059985012468442
0.0059464853,-4 -11 7,1.4151582999115595
0.0018442094,-4 -10 7,1.326796791767818
0.0011229772,-4 -9 7,1.2414433632945723
0.07398052,-4 -6 8,1.0592717614481508
0.0008733963,-4 -5 8,0.9975721472633428
0.002826347,-4 -4 8,0.9440968690635985
0.0006633396,-4 -3 8,0.9003126080099881
0.010263939,-4 2 9,0.9316612381561863
0.20868649,-4 3 9,0.9621270981487159
0.05289297,-4 4 9,1.0032246149728303
0.00066001294,-3 -11 5,1.311633708623365
0.0019020406,-3 -10 5,1.2157705121669338
0.0007276786,-3 -9 5,1.1220018162633156
0.034024462,-3 -5 6,0.8282256923303826
0.13391703,-3 -4 6,0.7629709997352463
0.033422444,-3 -3 6,0.7080726517976988
0.027903294,-3 3 7,0.7678478219843996
0.06566754,-3 4 7,0.8187549038889893
0.22560939,-3 5 7,0.8798886817912335
0.0011931516,-2 -14 2,1.5363975535253498
0.00013349218,-2 -13 2,1.4314343131878642
0.028502593,-2 -9 3,1.0319581992371019
0.0027346115,-2 -8 3,0.9320951062112406
0.109175794,-2 -3 4,0.5296358807240754
0.22271518,-2 -2 4,0.47204843453179923
0.29015523,-2 5 5,0.7255656376679015
0.0082497,-1 -13 0,1.4036722847873269
0.005882442,-1 -8 1,0.8736088220494782
0.043107416,-1 -7 1,0.7681987767626749
0.16662116,-1 -1 2,0.23602421726589962
0.3803277,-1 7 3,0.8024572310559978
0.008861461,0 -12 -2,1.3005726377074944
0.03507312,0 8 1,0.8636704572618383
0.058004044,0 9 1,0.970601162710553
0.14829075,0 10 1,1.0776278393532925
0.008225732,1 -11 -4,1.234543377568705
1.4865787,1 2 -2,0.30053027823448003
0.037126094,1 10 -1,1.085607643214888
0.013311481,1 11 -1,1.1919867963645752
0.0036589662,1 12 -1,1.2985362048069156
0.035628177,1 13 -1,1.4052171406822422
0.00085489056,1 14 -1,1.5120017640617915
0.10977271,2 -4 -5,0.650079037534372
0.13561283,2 3 -4,0.5296358807240754
0.12585978,2 4 -4,0.6010605564689601
0.0033828467,2 5 -4,0.6819887123121242
0.006774227,2 12 -3,1.3385806466319772
0.0042627645,2 13 -3,1.44230209201515
0.0028636209,2 14 -3,1.5465276222915767
0.001740651,3 -8 -8,1.1521337343085873
0.006145919,3 -2 -7,0.7293121057517616
0.042456113,3 -1 -7,0.7051788441607671
0.08546253,3 4 -6,0.7629709997352463
0.06464896,3 5 -6,0.8282256923303826
0.0775261,3 6 -6,0.9015908347034403
0.0076178913,3 7 -6,0.9812489254986805
0.0014577436,3 8 -6,1.0657898757022175
0.0008070981,4 -7 -10,1.23180287314967
0.0012850856,4 -6 -10,1.1693334858880362
0.01151189,4 -1 -9,0.9128920840709113
0.0023100805,4 0 -9,0.906546433682197
0.017929306,4 1 -9,0.9128833991646756
0.053443294,4 6 -8,1.0592717614481508
0.0018060082,4 7 -8,1.1278467648547403
0.038685486,4 8 -8,1.2021211129379201
0.00050114264,4 9 -8,1.2811038990397574
0.000271729,4 10 -8,1.3639774246242484
0.00011429876,4 11 -8,1.4500747616658567
0.00011008734,4 12 -8,1.5388548985339547
0.0023398283,5 -5 -12,1.300674926592225
0.0030918287,5 -4 -12,1.2601215643649903
0.0007270227,5 -3 -12,1.227653303695964
0.0044386685,5 1 -11,1.1215126093200494
0.0025067448,5 2 -11,1.136834913925122
0.015680995,5 3 -11,1.1619259421152353
0.0037385982,5 4 -11,1.1961711220337916
0.0021784839,5 5 -11,1.2388115256974106
0.0021902462,5 8 -10,1.357433416060369
0.0011415698,5 9 -10,1.427850044234987
0.0003787992,5 10 -10,1.5026513911724002
0.00022773564,6 -4 -14,1.4586242115035233
0.00093644677,6 -3 -14,1.430667364310442
0.00020978785,6 -2 -14,1.4103576883215343
0.00034593005,6 -1 -14,1.3980285031065363
0.0007474086,6 0 -14,1.393891590754068
0.016116733,6 2 -13,1.3435659610074164
0.00046551682,6 3 -13,1.3648611668736816
0.000111578986,6 4 -13,1.394129729576038
0.00013000697,6 5 -13,1.4308824500012889
0.0019191506,6 6 -13,1.4745598168068965
0.0010592495,6 7 -13,1.5245667928127815
