Intensity,HKL,G-vector Length
0.00042161957,-9 -3 11,1.5348270262887285
0.0071913544,-9 0 12,1.547977194507965
0.00025657777,-8 -7 9,1.501498231416886
0.00088307227,-8 -6 9,1.4506950423436973
0.00018399867,-8 -5 9,1.4062753846950076
0.00070709444,-8 -3 10,1.3822008143553408
0.0011231173,-8 -2 10,1.3611759198973794
0.011567937,-8 0 11,1.3925341484212108
0.0021726605,-8 1 11,1.3966741173976471
0.0007207024,-8 4 12,1.5070854566013
0.004769032,-8 5 12,1.5411539300017452
0.00035956112,-7 -9 7,1.4660725197371385
0.003081137,-7 -8 7,1.3975820799902188
0.00019231229,-7 -5 8,1.2624772033002059
0.00028997235,-7 -2 9,1.2071333751438842
0.0013036085,-7 -1 9,1.192713750790362
0.0126137035,-7 2 10,1.2561146873729339
0.0025896635,-7 5 11,1.3984961216729301
0.004328247,-7 6 11,1.4431613135852626
0.015098197,-6 -11 5,1.491606953930566
0.0017286489,-6 -10 5,1.408050500672559
0.0039654663,-6 -7 6,1.2074225706877042
0.00062156765,-6 -4 7,1.0751007366561505
0.0014303785,-6 -1 8,1.037556360735032
0.006709253,-6 0 8,1.0319847963386435
0.00014054,-6 3 9,1.1303140924509751
0.0019500987,-6 7 10,1.364893417169347
0.0050789565,-5 -12 3,1.480752420995473
0.0007169186,-5 -9 4,1.225781716809625
0.0034328494,-5 -6 5,1.0174296930187277
0.029414427,-5 -3 6,0.8890977568289362
0.013446236,-5 1 7,0.8832210768304666
0.018166985,-5 4 8,1.024722454856094
0.0019474493,-5 8 9,1.3098907685639494
0.0009650823,-4 -11 2,1.3144821596463954
0.002757063,-4 -8 3,1.0464873359095275
0.012497079,-4 -5 4,0.827718199872409
0.04406628,-4 -2 5,0.7055553632222318
0.03452167,-4 2 6,0.75354272830065
0.029571757,-3 -13 0,1.4607658458828388
0.0013341985,-3 -10 1,1.1557505292696648
0.011956694,-3 -7 2,0.8720040099145467
0.015935196,-3 -4 3,0.6385389406274457
0.0045625716,-3 3 5,0.6543960103223172
0.14686573,-3 7 6,0.9812865948947359
0.009355301,-2 -12 -1,1.3255315180335974
0.001125723,-2 -9 0,1.008124767039938
0.0076256753,-2 -6 1,0.7059083258673455
0.6595036,-2 1 3,0.376771364150325
0.021625299,-1 -11 -2,1.205359314161907
0.0047034444,0 11 3,1.2098350186873332
0.81981957,1 -2 -2,0.3005419918291393
0.061681658,1 5 0,0.5557719477307113
0.05569429,1 9 1,0.9826861663060567
0.012139025,1 13 2,1.4165800689553696
0.74371505,2 -7 -5,0.8963015831559977
0.030637348,2 -4 -4,0.6010839836582786
0.049055114,2 3 -2,0.4505628270607558
0.003384889,2 6 -1,0.7059083258673455
0.0074849618,2 10 0,1.1115438954614225
0.0016839448,2 14 1,1.5352493104683902
0.023680218,3 1 -4,0.5270505118855549
0.0023017563,3 4 -3,0.6385389406274457
0.0032822576,3 8 -2,0.9661537916781735
0.0006334591,3 12 -1,1.3577229711535417
0.00087876525,4 -4 -7,0.8895606268753266
0.0028764233,4 -1 -6,0.7302113397735776
0.05691777,4 2 -5,0.7055553632222318
0.10993034,4 6 -4,0.9011256541215116
0.007931288,4 9 -3,1.1363415913889279
0.0053781043,4 10 -3,1.2290174389355046
0.00016303072,4 13 -2,1.510517908860408
0.0012904748,5 -9 -10,1.4279055168157428
0.0032305764,5 -6 -9,1.1801463519531115
0.03793162,5 -3 -8,0.9845232029232595
0.009396302,5 0 -7,0.876661702226659
0.046319366,5 4 -6,0.9334091908498572
0.0022934615,5 7 -5,1.0886448082760152
0.0016152201,5 8 -5,1.1654214009200385
0.0004753059,5 11 -4,1.401441244833973
0.0069968314,5 12 -4,1.4931171128311616
0.0017500784,6 -8 -11,1.4747283454504099
0.002305742,6 -5 -10,1.2593705773758084
0.0071583893,6 -2 -9,1.1044972102434139
0.007405349,6 -1 -9,1.0887118131368194
0.0026472243,6 2 -8,1.0541010237711097
0.012626772,6 5 -7,1.122351906737622
0.00043115314,6 6 -7,1.1775318237493697
0.00030744317,6 9 -6,1.3516884811822674
0.00095127686,6 10 -6,1.4304792100261827
0.00555051,7 -6 -12,1.4944545144708647
0.04404444,7 -3 -11,1.3308533380137317
0.0010495537,7 0 -10,1.23760098447475
0.0014215737,7 3 -9,1.230792860002885
0.00039925615,7 4 -9,1.263173118724374
0.0050646435,7 6 -8,1.311775594256093
0.00013601015,7 7 -8,1.3677488494987322
0.001524745,7 8 -8,1.4296131664580636
5.5598128e-05,7 10 -7,1.5390181222886832
0.0008890167,8 -2 -12,1.460422679547155
0.0010578462,8 -1 -12,1.448520312192035
0.00020835896,8 1 -11,1.3966672129093032
0.00010332097,8 2 -11,1.4090005101129166
0.0046619712,8 5 -10,1.4474332655271678
0.00019619676,8 6 -10,1.4906266530585797
